station;VARIABLE;YEAR;MONTH;DAY;HOUR;Value
station252;Temperature;2019;1;2;23;19.8661666666667
station206;Temperature;2019;1;2;23;17.6183333333333
station229;Temperature;2019;1;2;23;18.6929998
station322;Temperature;2019;1;2;23;18.7003334
station318;Temperature;2019;1;2;23;19.2653330666667
station105;Temperature;2019;1;2;23;-117.296666666667
station82;Temperature;2019;1;3;0;17.4866666666667
station254;Temperature;2019;1;3;0;18.0488332833333
station319;Temperature;2019;1;3;0;19.5883333666667
station271;Temperature;2019;1;3;0;20.1055000166667
station349;Temperature;2019;1;3;0;-999
station83;Temperature;2019;1;3;0;17.445
station68;Temperature;2019;1;3;0;19.95
station197;Temperature;2019;1;3;0;18.2089999666667
station59;Temperature;2019;1;3;0;18.755
station313;Temperature;2019;1;3;0;15.4145
station252;Temperature;2019;1;3;0;19.3328333833333
station206;Temperature;2019;1;3;0;17.2933333333333
station229;Temperature;2019;1;3;0;18.15083335
station322;Temperature;2019;1;3;0;17.8481665833333
station318;Temperature;2019;1;3;0;18.48666675
station105;Temperature;2019;1;3;0;-168.948333333333
station82;Temperature;2019;1;3;1;16.9816666666667
station254;Temperature;2019;1;3;1;17.3693334333333
station319;Temperature;2019;1;3;1;18.9879999666667
station271;Temperature;2019;1;3;1;19.5118332166667
station349;Temperature;2019;1;3;1;-999
station83;Temperature;2019;1;3;1;16.9083333333333
station68;Temperature;2019;1;3;1;19.4633333333333
station197;Temperature;2019;1;3;1;17.76316655
station59;Temperature;2019;1;3;1;18.3033333333333
station313;Temperature;2019;1;3;1;15.1385
station252;Temperature;2019;1;3;1;18.6563331666667
station206;Temperature;2019;1;3;1;16.51
station229;Temperature;2019;1;3;1;17.9584999166667
station322;Temperature;2019;1;3;1;16.91449995
station318;Temperature;2019;1;3;1;17.18216675
station105;Temperature;2019;1;3;1;-135.7
station82;Temperature;2019;1;3;2;16.4483333333333
station254;Temperature;2019;1;3;2;16.96266665
station319;Temperature;2019;1;3;2;18.3406666166667
station271;Temperature;2019;1;3;2;19.2803333833333
station349;Temperature;2019;1;3;2;-999
station83;Temperature;2019;1;3;2;16.575
station68;Temperature;2019;1;3;2;19.24
station197;Temperature;2019;1;3;2;17.1158331666667
station59;Temperature;2019;1;3;2;17.8
station313;Temperature;2019;1;3;2;15.1895
station252;Temperature;2019;1;3;2;17.84766665
station206;Temperature;2019;1;3;2;16.565
station229;Temperature;2019;1;3;2;17.56199985
station322;Temperature;2019;1;3;2;16.198
station318;Temperature;2019;1;3;2;16.3853334166667
station105;Temperature;2019;1;3;2;-170.371666666667
station82;Temperature;2019;1;3;3;16.115
station254;Temperature;2019;1;3;3;16.4116667833333
station319;Temperature;2019;1;3;3;18.0559998833333
station271;Temperature;2019;1;3;3;18.7866664166667
station349;Temperature;2019;1;3;3;-999
station83;Temperature;2019;1;3;3;15.715
station68;Temperature;2019;1;3;3;18.885
station197;Temperature;2019;1;3;3;16.7881666833333
station59;Temperature;2019;1;3;3;17.2866666666667
station313;Temperature;2019;1;3;3;14.7461666666667
station252;Temperature;2019;1;3;3;17.3064997833333
station206;Temperature;2019;1;3;3;16.045
station229;Temperature;2019;1;3;3;16.98666655
station322;Temperature;2019;1;3;3;15.689
station318;Temperature;2019;1;3;3;15.9191666666667
station105;Temperature;2019;1;3;3;-103.635
station82;Temperature;2019;1;3;4;15.6566666666667
station254;Temperature;2019;1;3;4;15.8428334833333
station319;Temperature;2019;1;3;4;17.4983334666667
station271;Temperature;2019;1;3;4;18.70216675
station349;Temperature;2019;1;3;4;-999
station83;Temperature;2019;1;3;4;15.3133333333333
station68;Temperature;2019;1;3;4;18.265
station197;Temperature;2019;1;3;4;16.2614997833333
station59;Temperature;2019;1;3;4;17.085
station313;Temperature;2019;1;3;4;14.6413333333333
station252;Temperature;2019;1;3;4;16.8678333666667
station206;Temperature;2019;1;3;4;15.6133333333333
station229;Temperature;2019;1;3;4;16.5188336166667
station322;Temperature;2019;1;3;4;15.1195
station318;Temperature;2019;1;3;4;15.4835
station105;Temperature;2019;1;3;4;-137.836666666667
station82;Temperature;2019;1;3;5;15.5716666666667
station254;Temperature;2019;1;3;5;15.6915
station319;Temperature;2019;1;3;5;17.20349995
station271;Temperature;2019;1;3;5;18.3406665333333
station349;Temperature;2019;1;3;5;-999
station83;Temperature;2019;1;3;5;14.9166666666667
station68;Temperature;2019;1;3;5;18.0766666666667
station197;Temperature;2019;1;3;5;15.7293333333333
station59;Temperature;2019;1;3;5;16.62
station313;Temperature;2019;1;3;5;13.6186666666667
station252;Temperature;2019;1;3;5;16.56983345
station206;Temperature;2019;1;3;5;15.05
station229;Temperature;2019;1;3;5;15.97350005
station322;Temperature;2019;1;3;5;14.8996666666667
station318;Temperature;2019;1;3;5;15.181
